,asin,productTitle,primaryCategory,secondaryCategory,brand,price,itemModelNumber,imageURLHighRes,ranking,productDimensions,shippingWeight,domesticShipping,internationalShipping,discontinuedByManufacturer,batteries
0,B001JCX8SE,"ALKAITIS Organic Purifying Facial Cleanser, 4 fl. oz.",Beauty & Personal Care,Luxury Beauty,DR.,65.00,opfc,"['https://images-na.ssl-images-amazon.com/images/I/41W19N-dO3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41USVI1O8bL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31cyfHOpsUL.jpg']","66,747",1.2 x 2 x 6 inches ; 4 ounces,4.8 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
1,B018S6IVG2,Roma Love At First Sight 6 Piece Kit,Beauty & Personal Care,Luxury Beauty,SKIN&amp;CO,25.00,60290,"['https://images-na.ssl-images-amazon.com/images/I/51WFTF3py9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LQad-XY3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/319leI6L%2BRL.jpg']","203,416",5.8 x 3 x 0.6 inches ; 8.3 ounces,1 pounds,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
2,B00J2H2ZIW,"Skincare Prevention+ Daily Ultimate Protection SPF 50 Moisturizer, 3.2 Ounce",Beauty & Personal Care,Luxury Beauty,Image,40.00,819984010291,"['https://images-na.ssl-images-amazon.com/images/I/31jUdnhubXL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jlT6R1vZL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/413EnPo76uL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/317LO0gzluL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MJPvhM6iL.jpg']","3,178",1.8 x 1.8 x 1.5 inches,4 ounces,,,,
3,B01ATZ2DXM,"Camuto Homme Eau de Toilette Spray,  6.7 Fl Oz",Beauty & Personal Care,Luxury Beauty,Vince,95.00,,"['https://images-na.ssl-images-amazon.com/images/I/41VF5CRjxoL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41s9hffS5EL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31w%2B1iWK2KL.jpg']","114,098",5.4 x 3 x 8.9 inches,2.4 pounds,,,,
4,B00T3KEDRE,Discovery Six-Step System,Beauty & Personal Care,Luxury Beauty,Epicuren,220.50,K100-2,"['https://images-na.ssl-images-amazon.com/images/I/41bBXy716HL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51F8LZRFnkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xLOCLYhyL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31s%2Bco6dL5L.jpg']","170,449",11.2 x 4 x 11.5 inches,1.7 pounds,,,,
5,B01AVL74HO,"Color Care Authority Signature Blonde Restorative Filler, 6.7 fl. Oz.",Beauty & Personal Care,Luxury Beauty,ColorProof,32.00,,"['https://images-na.ssl-images-amazon.com/images/I/31C6spZhBAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Wzr%2BiTKQL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Xx0kHQiRL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51MuP9a9SpL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412R4N%2BIQAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/312LS7ovnBL.jpg']","286,113",2.2 x 2.2 x 7.6 inches,7.2 ounces,,,,
6,B001DVP0JQ,"Mustela Stelaprotect Texture Rich Face Cream for Kids, 1.3 Oz",Beauty & Personal Care,Luxury Beauty,,,Stelaprotect Crema,['https://via.placeholder.com/250?text=Image+Not+Available'],"959,717",4 x 1 x 1 inches ; 10.2 ounces,1.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
7,B00JZPVK28,"PRO Bio-Cleansing Shampoo,8 Fl Oz",Beauty & Personal Care,Luxury Beauty,Revivogen,25.00,RP-S,"['https://images-na.ssl-images-amazon.com/images/I/51YEqbu4vFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LdcC5IcnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41gugDiOZML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mmfRHphOL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Il1Zc00ML.jpg']","99,624",1.5 x 1.5 x 7.8 inches,9.6 ounces,Item can be shipped within U.S.,This item can be shipped to select countries outside of the U.S.,,
8,B0013MXPEM,Precision Eyeliner Brush No. 4,Beauty & Personal Care,Luxury Beauty,stila,,S01H010001,['https://images-na.ssl-images-amazon.com/images/I/21XHVS40q6L.jpg'],"813,931",4 x 5 x 6 inches,0.3 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
9,B00PCL0SC2,"Gift With A Purpose, Medium Brown",Beauty & Personal Care,Luxury Beauty,Toppik,,,['https://images-na.ssl-images-amazon.com/images/I/512h3-za9PL.jpg'],"1,290,311",,5.6 ounces,Item can be shipped within U.S.,This item is not eligible for international shipping.,,
